log.lll	log.llw	log.ull	log.ulw	log.ctl	log.ctw
2.89204913205395	2.10632504915326	3.02649730291298	1.89873573394216	3.53328916879055	1.90394691762934
2.90681295521466	2.04346708151608	2.97391029543386	1.93878823376452	3.64187902269077	1.88815677524065
2.90835478333598	1.99027297386855	2.95884205429768	1.8679069533677	3.53779492467006	1.79705809829576
2.93550364120688	2.14696942984694	3.01150444384351	1.90521101084964	3.51244570536541	1.91346856628924
2.91089271299193	2.20940875163525	2.84779192945624	2.01214119681982	3.55295272380662	1.95605205056964
2.92188578011323	2.20203274762901	2.86073290833562	1.83660522423473	3.49761096434917	1.82741119671001
2.9461224536579	2.30649337329486	3.02205240774739	1.91696004572735	3.43722279144074	1.92580574772028
3.00177857110828	2.07425859617528	3.03123907346422	1.92125393243604	3.41265288872384	1.85146317008353
3.07729858984941	1.95492899416288	3.04268362780816	1.93825839641458	3.52612096247721	1.884227910825
2.768987498034	1.96235903921805	2.94124125862996	1.7557690659542	3.47466022467167	1.81362923268036
2.7859697967559	2.08765181242899	2.82677474423788	1.70499822338688	3.39794274221819	1.73887377278683
2.82812755957357	2.0892244867033	2.88264682336982	1.82104587548149	3.47252431527181	1.87223177270272
3.01399620477345	2.33330982024415	3.06067892498735	1.97795168749177	3.5147726042709	1.96415800520684
3.01634576565136	2.34621255890701	3.02740781661954	1.94436010062579	3.51239418091562	1.95192980308427
2.87295144558954	1.90696741283171	2.99711539234846	1.89853319926231	3.5183761197158	1.92494569832884
2.76829219965094	2.10546147675946	2.9472934292244	1.7897483813299	3.42945250090408	1.84370112934115
3.03997946128217	2.00400491286858	3.10541062277313	1.9717241274746	3.67849128065522	2.02706846935255
3.16922845565517	2.53634208232177	3.10485587847897	1.99290400143023	3.57517595038256	1.95665920007319
2.91754700267656	2.29390737611307	2.99789233858413	1.90225452165509	3.52494872180301	1.93943191901812
2.8983925740086	2.24562599445823	2.98693687104983	2.05342596457697	3.47370743536291	1.85348117746119
2.77489805624248	2.19238632059505	2.78576333126893	1.81885133772238	3.43969760830339	1.8490546718532
2.63094488926184	1.82346343565983	2.84070286718785	1.79057215544322	3.48185607481269	1.82878837454582
2.80868575665629	2.34137265408924	2.80330973927122	1.73691190054836	3.42978256153591	1.8423568990002
2.8676621570558	2.05174615526802	2.88679698769884	1.88863703110301	3.40717510218041	1.81745713896485
2.95590187442593	2.09002429401641	2.94212609491877	1.97881900380513	3.45742317774545	1.97184875976709
2.88545308079405	2.24514802013915	3.03296300294906	1.98865846279	3.58617462114425	1.9966847088181
2.85082772960598	2.08980285797783	2.8910950711364	1.93664405418478	3.51071269601527	1.9125690176322
2.90714373012018	2.19370610265397	3.01397938497339	1.97751436352749	3.55545316955119	1.93998156139863
2.75956572162155	2.1309833942478	2.75462151135036	1.80933591305446	3.38352815256935	2.16616393778456
2.923398643157	2.12379043210324	2.91359031581658	1.88934845274444	3.49505126087141	1.85933509363219
2.7993716514967	1.91434833273306	2.88712773184813	1.9284314685782	3.58006717535533	1.7088848639487
3.00109701777959	2.13756898574204	2.97474279389331	1.83288691656493	3.50512438320745	1.98044127132392
3.01784216868874	2.22234555440033	3.1597745889088	2.04469394638026	3.45583455796933	1.93477060304164
2.7569614616841	2.15882422166661	2.95469021881762	1.71053759465482	3.61846414681036	1.88465601213858
2.8851039991587	2.12369286591239	2.94402124078189	1.85014982332	3.48509816515351	1.96456200173915
2.90382833745096	2.33157378411115	3.00189635678806	1.93369802894199	3.56070392403002	2.01156869583947
2.98448418911808	1.88037778487377	2.96845058229925	1.89401643426365	3.5054592848631	1.90045430804182
2.79833867007634	2.29227159341907	2.90255954359137	1.88502008917488	3.56406542275242	1.96023017701738
2.73212130432189	2.13637132222628	2.9106177415366	1.58735351410247	3.46831631491261	1.89411778562166
2.75354817601945	2.066302349456	2.88493981148151	1.81858426132596	3.39592968942262	1.83332586345859
2.78552678241514	2.28786290712334	2.94624364309836	1.76345434607963	3.48026041296751	1.96640019376772
2.91554726459153	2.17207730189956	2.87989529597438	1.81974093794107	3.47301882412814	1.8691273862673
2.92160717763381	2.01367606874471	3.04260469515206	1.93463811410742	3.51672297241981	1.86352077410817
3.01928273022586	1.7956575510358	3.03032175793422	1.90478850468942	3.5050765491602	1.87210703101476
2.79935143599491	2.25250202719871	2.92436379409144	1.93743751545717	3.46096514804395	1.85765999735431
2.70297632967645	1.9845329107354	2.89805918329676	1.88903484363448	3.54629600605925	1.87938531591906
2.63096354409951	2.04515331188858	2.79824788205659	1.84613592536409	3.47794467172383	1.74807990603029
2.95251586157457	1.90766069387724	2.95508300550109	1.78235299399941	3.57811286803962	1.83371874684707
2.86236835448979	1.97722262371138	3.03669134745317	1.90323089453418	3.58945623705945	1.88065433195139
2.58189767973425	1.9702667561348	2.78969440521417	1.69369842018649	3.35993630972007	1.78188773504095
2.75638189820303	2.17526839246071	2.90577226887263	1.58666446849757	3.46845809589847	1.88937181108469
3.02316823752821	2.45352150451155	3.13140306660207	1.92017227801816	3.52500417918306	1.94873066180369
2.71843892621551	2.15500949338005	2.93949395518468	2.05503449228455	3.48831774477364	1.96274251538531
2.7523259638226	2.22504835664246	2.84217839077717	1.72333174838092	3.60318552469834	1.89815979557476
2.74183262815494	1.83614813268354	2.82293920221135	1.78002448568171	3.52348928817022	1.80655777004207
2.67968894841996	1.91101885342606	2.84931772726039	1.78408700713449	3.64377928108916	1.86481712638984

