animal	dano	R2	arcsinR2	Sire	Dam
157	0.13447	0.86553	1.195335	540	601
158	0.24673	0.75327	1.050982	540	601
159	0.27686	0.72314	1.0167	540	601
160	0.2202	0.7798	1.08235	540	601
161	NA	NA	NA	540	601
162	0.297185	0.70281467	0.994232	540	601
163	NA	NA	NA	540	601
164	0.22347	0.77653	1.078414	540	602
165	0.16201	0.83799	1.156545	540	602
166	0.19847	0.80153	1.109064	540	602
167	0.38	0.62	0.906581	540	602
168	0.60593	0.39407	0.678659	540	602
169	0.34534	0.65466	0.942637	541	603
170	0.16171	0.83829	1.156952	541	603
171	0.15651	0.84349	1.164061	541	603
172	0.16928	0.83072	1.146767	541	603
173	0.17043	0.82957	1.145235	541	603
174	0.179444	0.820556	1.133371	541	603
175	0.18528	0.81472	1.125814	541	603
176	0.13078	0.86922	1.200775	541	603
177	0.090233	0.909767	1.265697	541	604
178	0.13145	0.86855	1.199783	541	604
179	154	846	1.167526	541	604
180	0.21292	0.78708	1.091187	541	604
181	0.05	0.95	1.345283	542	607
182	0.17148	0.82852	1.143841	542	607
183	0.16635	0.83365	1.150687	542	607
184	0.27165	0.72835	1.022539	542	607
185	0.22	0.78	1.082591	542	607
186	0.23985	0.76015	1.058999	542	607
187	0.11854	0.88146	1.219307	542	607
188	0.22191	0.77809	1.080289	542	608
189	0.15943	0.84057	1.160057	542	608
190	0.17023	0.82977	1.145501	542	608
191	0.13313	0.86687	1.197303	542	608
192	0.16263	0.83737	1.155704	542	608
193	0.15555	0.84445	1.165383	542	608
194	0.095386	0.904614	1.256817	542	608
195	0.1	0.9	1.249046	543	609
196	0.25832	0.74168	1.037643	543	609
197	0.16371	0.83629	1.154243	543	609
198	0.17927	0.82073	1.133598	543	609
199	0.154137	0.84586345	1.167337	543	609
200	0.20031	0.79969	1.106761	543	609
201	0.15045	0.84955	1.172467	543	609
202	0.18717	0.81283	1.123387	543	609
203	0.12675	0.87325	1.206791	543	609
204	0.13668	0.86332	1.192107	543	609
205	0.13336	0.86664	1.196965	543	609
206	0.059478	0.9405223	1.324431	543	609
207	0.14096	0.85904	1.185918	543	610
208	0.16562	0.83438	1.151668	543	610
209	0.2	0.8	1.107149	543	610
210	0.23624	0.76376	1.063238	543	610
211	0.21126	0.78874	1.093217	543	610
212	0.40037	0.59963	0.8857	543	610
213	0.20168	0.79832	1.105052	544	617
214	0.10872	0.89128	1.234782	544	617
215	0.16928	0.83072	1.146767	544	617
216	0.3061	0.6939	0.98452	544	617
217	0.17175	0.82825	1.143483	544	617
218	0.1548	0.8452	1.166419	544	617
219	0.16108	0.83892	1.157809	544	617
220	0.094803	0.905197	1.25781	544	617
221	0.1905	0.8095	1.119133	544	617
222	0.097055	0.902945	1.253987	544	618
223	0.14943	0.85057	1.173896	544	618
224	0.15244	0.84756	1.169692	544	618
225	0.17125	0.82875	1.144146	544	618
226	0.1736	0.8264	1.141036	544	618
227	0.1623	0.8377	1.156152	545	619
228	0.17	0.83	1.145808	545	619
229	0.13744	0.86256	1.191002	545	619
230	0.18588	0.81412	1.125043	545	619
231	0.28079	0.71921	1.012318	545	619
232	0.30571	0.69429	0.984943	545	619
233	0.25187	0.74813	1.045041	545	619
234	0.25915	0.74085	1.036695	545	619
235	0.20129	0.79871	1.105538	545	619
236	0.17069	0.82931	1.14489	545	619
237	0.15448	0.84552	1.166862	545	619
238	0.30581	0.69419	0.984835	545	619
239	0.2	0.8	1.107149	545	620
240	0.11831	0.88169	1.219663	545	620
241	0.07	0.93	1.303033	545	620
242	0.14383	0.85617	1.181812	545	620
243	0.15	0.85	1.173097	545	620
244	0.27752	0.72248	1.015963	545	620
245	0.13471	0.86529	1.194984	546	621
246	0.10273	0.89727	1.244523	546	621
247	0.092798	0.907202	1.261249	546	621
248	0.13764	0.86236	1.190712	546	621
249	442	558	0.843529	546	621
250	434	566	0.851591	546	621
251	0.236814	0.763186	1.062562	546	621
252	0.21615	0.78385	1.087253	546	621
253	0.28719	0.71281	1.005222	546	621
254	0.29519	0.70481	0.996417	546	621
255	0.22764	0.77236	1.073426	546	621
256	0.11131	0.88869	1.230643	546	621
257	0.14647	0.85353	1.178064	546	621
258	0.36	0.64	0.927295	546	621
259	0.37	0.63	0.916909	546	621
260	0.31	0.69	0.980296	546	621
261	0.27	0.73	1.024396	546	621
262	0.1501	0.8499	1.172957	546	621
263	0.24076	0.75924	1.057934	546	621
264	0.17871	0.82129	1.134329	546	621
265	0.32467	0.67533	0.964536	546	621
266	0.22865	0.77135	1.072222	546	621
267	0.17333	0.82667	1.141392	546	621
268	0.2016	0.7984	1.105152	546	622
269	0.16993	0.83007	1.145901	546	622
270	0.21	0.79	1.094763	546	622
271	0.1156	0.8844	1.223879	546	622
272	0.071668	0.928332	1.299782	546	622
273	0.12323	0.87677	1.212113	546	622
274	0.14696	0.85304	1.177372	546	622
275	0.25	0.75	1.047198	546	622
276	0.37	0.63	0.916909	548	625
277	362	638	0.925213	548	625
278	0.22291	0.77709	1.079087	548	626
279	0.1657	0.8343	1.15156	548	626
280	0.5	0.5	0.785398	548	626
281	0.096011	0.903989	1.255754	548	626
282	0.5	0.5	0.785398	548	626
283	0.23226	0.76774	1.067936	548	626
284	0.21785	0.78215	1.085191	548	626
285	0.12791	0.87209	1.205051	548	626
286	0.1386	0.8614	1.189321	549	627
287	0.17668	0.82332	1.136984	549	627
288	0.15	0.85	1.173097	549	627
289	0.22279	0.77721	1.079231	549	627
290	NA	NA	NA	549	627
291	0.11511	0.88489	1.224646	549	627
292	0.25575	0.74425	1.040583	549	627
293	0.26745	0.73255	1.027272	549	627
294	0.21123	0.78877	1.093254	549	627
295	0.14903	0.85097	1.174457	549	628
296	185	815	1.126175	549	628
297	0.19313	0.80687	1.115793	549	628
298	0.21039	0.78961	1.094284	549	628
299	0.12736	0.87264	1.205876	549	628
300	0.27314	0.72686	1.020866	549	628
301	0.21444	0.78556	1.089333	549	628
302	237	763	1.062343	550	629
303	0.23744	0.76256	1.061826	550	629
304	237	763	1.062343	550	629
305	0.27361	0.72639	1.020339	550	629
306	0.3405	0.6595	0.947735	550	629
307	0.17285	0.82715	1.142026	550	629
308	0.16448	0.83552	1.153203	550	629
309	0.26166	0.73834	1.033835	550	629
310	0.08	0.92	1.28404	550	629
311	0.2	0.8	1.107149	550	629
312	0.15944	0.84056	1.160044	550	629
313	0.22874	0.77126	1.072115	550	629
314	0.21346	0.78654	1.090528	550	630
315	0.4	0.6	0.886077	550	630
316	0.1443	0.8557	1.181142	550	630
317	0.17687	0.82313	1.136735	550	630
318	0.16865	0.83135	1.147607	550	630
319	0.25	0.75	1.047198	550	630
320	0.16654	0.83346	1.150432	550	630
321	0.4	0.6	0.886077	550	630
322	0.19079	0.80921	1.118763	551	631
323	0.20917	0.79083	1.095782	551	631
324	0.3	0.7	0.991157	551	631
325	0.20036	0.79964	1.106699	551	631
326	NA	NA	NA	551	631
327	0.25	0.75	1.047198	551	631
328	NA	NA	NA	551	631
329	0.14885	0.85115	1.17471	551	631
330	0.21	0.79	1.094763	551	631
331	0.2	0.8	1.107149	551	631
332	0.39682	0.60318	0.889325	551	631
333	0.19568	0.80432	1.112571	551	631
334	0.16166	0.83834	1.15702	551	631
335	0.21255	0.78745	1.091639	551	631
336	0.12162	0.87838	1.214569	551	631
337	0.20944	0.79056	1.09545	551	631
338	0.21243	0.78757	1.091786	551	631
339	0.31036	0.68964	0.979907	551	631
340	0.36189	0.63811	0.925328	551	631
341	0.29753	0.70247	0.993855	551	631
342	0.34515	0.65485	0.942837	551	631
343	0.21671	0.78329	1.086573	551	631
344	NA	NA	NA	551	631
