nectary.depth	flower.number	largo.ext	frutos	fruct	exported.pollinaria	prop.pol
4.355	39	2.3659	35	0.897435897	19	0.542857143
4.33	51	2.643	47	0.921568627	23	0.469387755
4.28	74	2.9007	62	0.837837838	19	0.263888889
4.655	34	2.4245	25	0.735294118	21	0.777777778
4.28	18	1.9365	15	0.833333333	6	0.333333333
NA	21	NA	18	0.857142857	6	0.333333333
4.35	28	2.37975	25	0.892857143	7	0.28
3.705	15	2.85945	15	1	6	0.4
4.41	21	2.4465	18	0.857142857	5	0.277777778
3.775	36	2.6107	23	0.638888889	2	0.083333333
4.655	31	2.9509	28	0.903225806	11	0.379310345
4.195	36	2.19335	35	0.972222222	10	0.3125
4.54	45	2.64145	41	0.911111111	14	0.325581395
