planta	dano	crec	flor.dias	frutos
1381	0.07699455	1.18436649	56	0
1383	0.09293529	1.12779809	61	0
1391	0.04703342	1.14749086	55	11
1395	0.18286782	1.03852978	53	1
1399	0.17648113	1.06558519	58	0
1409	0.16069742	0.92471269	70	0
1413	0.26035877	1.34677617	51	1
1415	0.15507039	1.03621182	60	0
1417	0.12183762	1.20566849	58	8
1425	0.27665595	1.26967883	59	10
1439	0.16387708	1.20841273	63	5
1449	0.26158662	1.26133476	48	8
1455	0.13641742	0.96424033	51	3
1461	NA	0.7629348	60	0
1477	0.15208333	1.01474021	82	0
1487	0.12876881	1.11401748	58	4
1489	0.10722337	1.41939257	41	9
1491	0.10380169	1.39172921	45	14
1495	0.09200442	1.07068473	67	2
1497	0.12394469	1.28762784	55	5
1501	0.07501148	1.00844928	51	0
1503	0.12895289	0.96497897	60	0
1505	0.12600324	1.30424568	56	10
1507	0.1886721	0.97458107	45	2
1511	0.08321104	1.00648905	64	0
1513	0.20251454	1.35863874	51	8
1519	0.1529179	1.12779809	59	2
1529	0.15194729	1.20963809	54	0
1533	0.15185605	0.93837754	48	0
1535	0.09112558	1.09940639	55	0
1795	0.12299795	0.81079843	56	0
1797	0.15022532	0.98229187	38	7
1801	0.31257422	0.87632514	54	3
1805	NA	0.82759337	61	0
1811	0.12666545	0.62149851	45	1
1813	0.1578569	0.91239303	54	3
1815	NA	0.61737725	76	0
1819	0.20239493	0.81483707	48	2
1821	NA	0.73294321	48	4
1827	0.23274362	0.88363071	62	0
1831	0.0802743	1.43194649	64	0
1833	0.09463845	1.0491411	48	6
1835	0.20625696	0.87007204	62	0
1837	0.18084703	0.95266286	58	0
1839	0.22304894	0.69181409	41	1
1841	0.29572073	0.84496628	58	2
1843	0.188374	0.87331753	58	0
1845	0.12320895	0.79148467	51	1
1847	0.09318921	0.89137856	48	1
1849	0.09953906	0.96788467	54	3
1851	0.09393681	1.15790609	48	14
1853	NA	0.72923055	76	1
1855	NA	0.55661729	48	1
1857	0.31918057	1.11159992	48	3
1859	0.30133836	0.92999158	67	1
1861	0.16727442	0.92808412	51	2
1863	0.18354709	0.87096129	44	1
1867	NA	0.7274544	54	1
1869	0.07662391	0.92999158	52	1
1871	0.07570978	0.77684725	56	0
1873	0.12438221	0.54663003	52	0
1875	0.16878917	1.43248144	61	1
1879	NA	0.60070222	56	0
1881	NA	0.78735463	58	0
1883	NA	0.65312021	46	1
1885	NA	0.690696	62	0
1889	0.22578195	0.82374293	61	2
1891	0.2049395	0.8014463	42	2
1893	0.23156383	0.91936606	45	1
1895	0.34924039	0.63036286	61	0
1897	0.04852159	1.01412634	62	3
1899	0.12075607	0.91035627	51	2
1901	0.07693825	1.43082517	48	5
1903	0.25786088	1.00136423	62	4
1905	0.20345141	1.43194649	67	0
1907	0.12221498	0.71649037	51	0
1909	0.14139081	0.86572267	51	2
1911	0.15005394	0.91936606	62	0
1913	0.34587365	0.80536729	67	0
1915	0.2399379	1.01316392	48	1
1917	0.3130396	1.03130261	48	4
1919	0.26825633	0.88652591	61	0
1921	0.23789263	0.97738551	48	4
1923	0.17011802	0.82374293	76	0
1925	0.34103449	0.78410693	51	0
1927	0.24869299	1.13592484	54	3
1929	0.04121784	0.52399957	60	0
1931	NA	0.53555246	55	0
1937	0.20388989	1.00400087	51	6
1939	0.13478475	0.39320832	54	0
1941	0.17218543	1.43194649	56	0
1943	0.18163847	0.96538326	56	2
1947	0.09106726	0.85468559	54	1
1951	NA	0.8014463	54	2
1957	0.22826087	0.75172513	56	0
1959	0.13015637	0.97275041	45	3
1961	0.34031999	0.81483707	51	0
