seed_number	style_deflex	flower_size	stigma_area	pollen_depos	plant_size
194.0000	-1.2183	34.1633	8.8196	1491.0000	213.0000
268.0000	0.4833	34.0433	9.6865	2181.5567	281.0000
36.0000	-1.4433	36.0200	16.4240	2084.6700	52.0000
40.0000	-0.3017	33.3700	16.3252	100.5000	38.0000
37.0000	-1.4967	35.2200	8.7151	274.6650	27.0000
76.0000	-2.1033	34.0350	14.8434	427.5000	69.0000
173.0000	3.5950	30.7150	11.1330	1043.5000	82.0000
113.0000	-1.1725	31.4500	18.8332	1317.0000	55.0000
153.0000	0.4000	34.8900	10.4894	1200.0000	278.0000
116.0000	-0.7022	37.9600	12.4279	520.4000	48.0000
88.0000	0.2511	32.3933	11.4653	720.3067	98.0000
117.0000	-0.4867	35.4100	16.3370	2013.3300	49.0000
123.0000	-2.4467	33.5200	13.7463	1919.3300	65.0000
60.0000	-0.3538	31.5250	6.9131	549.8750	163.0000
35.0000	-5.3017	36.2550	12.9201	2282.5000	25.0000
186.0000	-1.0481	36.4667	11.0228	723.6100	119.0000
97.0000	-1.1550	40.1800	11.3699	1256.7500	117.0000
77.0000	0.1511	31.7100	15.0124	995.7200	168.0000
194.0000	1.0633	31.9500	12.1300	360.1650	112.0000
129.0000	-0.7575	37.0233	12.2824	1094.6100	97.0000
103.0000	0.1333	37.2400	7.9348	1766.6700	45.0000
130.0000	-2.0444	38.5233	22.5797	2898.2233	49.0000
102.0000	-0.6217	33.5550	8.1371	1721.3350	59.0000
142.0000	-2.1142	34.7250	16.6789	2122.6700	119.0000
1.0000	1.4617	36.1900	10.6321	166.3350	69.0000
119.0000	1.7633	40.9300	22.6803	111.3300	44.0000
134.0000	0.0267	37.7850	20.0955	2045.3350	92.0000
41.0000	-0.5733	34.2300	11.2772	2758.0000	67.0000
106.0000	2.8833	33.4900	11.6936	611.7767	105.0000
213.0000	-1.7817	39.6300	15.0145	2023.1650	76.0000
90.0000	-0.3500	37.9433	13.8855	1873.8900	30.0000
32.0000	-1.7183	35.2800	15.6111	324.6650	47.0000
0.0000	1.0775	27.9700	8.5604	635.1675	93.0000
420.0000	1.2167	34.3800	15.2585	706.5533	188.0000
198.0000	3.2456	34.9100	17.7448	79.7800	131.0000
61.0000	-0.9100	35.5700	14.4911	109.0000	53.0000
79.0000	-1.5975	40.2700	23.9475	2215.0000	78.0000
140.0000	0.3411	36.5167	11.1226	914.8867	76.0000
11.0000	-0.9800	29.4600	12.0246	411.3300	72.0000
65.0000	-1.2667	40.3300	17.2454	1399.0000	90.0000
105.0000	-1.0333	35.7200	18.6160	1613.6700	64.0000
84.0000	-0.7217	33.2950	6.3241	1919.1700	71.0000
56.0000	-5.6333	32.6800	8.0794	199.0850	69.0000
53.0000	-1.3267	39.8900	9.3965	1047.3300	103.0000
291.0000	0.5556	35.9333	10.4594	1009.2233	203.0000
13.0000	-0.5000	31.0533	9.9256	941.6100	88.0000
0.0000	5.1967	25.4400	8.3320	94.0000	18.0000
99.0000	-0.9892	32.1733	11.3365	1360.0000	51.0000
14.0000	-3.8600	32.9000	14.0500	4333.6700	110.0000
23.0000	-2.4717	33.5050	14.8556	1966.3350	51.0000
168.0000	-3.6183	32.2800	15.8159	2649.7500	111.0000
0.0000	-0.9383	32.9400	16.3039	1773.3300	45.0000
71.0000	-3.4108	34.5000	9.1973	2121.5425	74.0000
20.0000	1.3325	35.2850	11.4813	267.1650	48.0000
72.0000	-0.2867	38.8800	16.3271	612.3300	108.0000
0.0000	3.3067	31.1700	7.2809	862.0000	132.0000
123.0000	-1.4050	34.2700	8.1857	1486.3750	95.0000
65.0000	-1.1733	37.0100	11.6343	2298.6700	56.0000
52.0000	-1.2267	36.7700	15.5431	2160.5000	47.0000
113.0000	-0.6125	35.1133	17.5594	878.3333	53.0000
0.0000	-2.1867	35.8400	11.0369	2098.3300	124.0000
0.0000	-4.0050	24.0800	5.3102	1537.3350	258.0000
26.0000	-2.1333	44.1700	14.6968	65.6700	31.0000
439.0000	-0.6344	34.2567	17.1256	2726.1100	173.0000
0.0000	-2.1950	35.7750	12.5082	93.5000	44.0000
71.0000	-1.9067	36.4100	13.5169	1830.5000	26.0000
180.0000	1.7522	29.2500	12.4939	2286.1667	45.0000
62.0000	-1.1467	35.3800	7.9736	1518.3300	17.0000

