survival	gestation.time	weight
0	-2.81397	-2.02526
0	-2.55657	-2.02526
0	-2.55657	-2.02526
0	-2.42786	-0.301116
0	-2.17045	-2.02526
0	-2.17045	-1.83369
0	-2.17045	-1.83369
0	-2.04175	-1.83369
0	-2.04175	-1.64212
0	-2.04175	-1.45055
0	-2.04175	-1.45055
0	-2.04175	-1.0674
0	-2.04175	-0.684259
0	-1.91305	-2.02526
0	-1.91305	-1.64212
0	-1.91305	-1.64212
0	-1.91305	-1.64212
1	-1.91305	-0.684259
0	-1.78434	-1.64212
0	-1.78434	-1.45055
0	-1.65564	-2.02526
0	-1.65564	-1.64212
0	-1.65564	-1.64212
0	-1.65564	-1.64212
0	-1.65564	-1.25897
0	-1.65564	-1.25897
0	-1.65564	-1.25897
1	-1.65564	-0.109544
0	-1.52694	-2.02526
0	-1.52694	-2.02526
0	-1.52694	-2.02526
0	-1.52694	-1.83369
0	-1.52694	-1.64212
0	-1.52694	-1.25897
0	-1.52694	-1.25897
0	-1.52694	-1.25897
0	-1.52694	-1.0674
1	-1.52694	-0.875831
1	-1.52694	-0.684259
1	-1.52694	0.848314
0	-1.39823	-1.83369
0	-1.39823	-1.64212
0	-1.39823	-1.45055
1	-1.39823	-1.25897
0	-1.39823	-1.25897
0	-1.39823	-1.25897
0	-1.39823	-1.25897
1	-1.39823	-1.0674
0	-1.39823	-1.0674
0	-1.39823	-1.0674
0	-1.39823	-1.0674
0	-1.39823	-0.875831
0	-1.39823	-0.875831
1	-1.39823	-0.492688
0	-1.39823	0.273599
0	-1.26953	-2.02526
0	-1.26953	-1.64212
1	-1.26953	-1.45055
0	-1.26953	-1.45055
0	-1.26953	-1.45055
0	-1.26953	-1.25897
1	-1.26953	-1.0674
1	-1.26953	-1.0674
1	-1.26953	-1.0674
0	-1.26953	-1.0674
0	-1.26953	-0.875831
1	-1.26953	-0.684259
1	-1.26953	0.46517
1	-1.26953	0.46517
1	-1.26953	1.03989
0	-1.14083	-1.83369
1	-1.14083	-1.64212
0	-1.14083	-1.64212
0	-1.14083	-1.64212
1	-1.14083	-1.45055
0	-1.14083	-1.45055
0	-1.14083	-1.45055
1	-1.14083	-1.25897
0	-1.14083	-1.25897
0	-1.14083	-1.25897
1	-1.14083	-1.25897
0	-1.14083	-1.25897
0	-1.14083	-1.25897
1	-1.14083	-1.0674
1	-1.14083	-1.0674
0	-1.14083	-1.0674
0	-1.14083	-1.0674
0	-1.14083	-1.0674
1	-1.14083	-0.875831
0	-1.14083	-0.875831
1	-1.14083	-0.875831
0	-1.14083	-0.875831
1	-1.14083	-0.875831
0	-1.14083	-0.875831
0	-1.14083	-0.684259
1	-1.14083	-0.301116
1	-1.14083	-0.301116
1	-1.14083	-0.109544
1	-1.14083	0.0820271
1	-1.14083	0.273599
0	-1.14083	0.848314
0	-1.01212	-2.02526
0	-1.01212	-1.83369
0	-1.01212	-1.64212
0	-1.01212	-1.64212
0	-1.01212	-1.45055
1	-1.01212	-1.25897
0	-1.01212	-1.25897
1	-1.01212	-1.0674
1	-1.01212	-1.0674
1	-1.01212	-1.0674
0	-1.01212	-1.0674
0	-1.01212	-1.0674
1	-1.01212	-0.875831
1	-1.01212	-0.875831
1	-1.01212	-0.875831
1	-1.01212	-0.875831
1	-1.01212	-0.875831
1	-1.01212	-0.875831
1	-1.01212	-0.684259
1	-1.01212	-0.492688
0	-1.01212	-0.492688
1	-1.01212	-0.301116
1	-1.01212	-0.301116
1	-1.01212	-0.301116
1	-1.01212	-0.301116
1	-1.01212	-0.109544
0	-1.01212	0.0820271
1	-1.01212	0.273599
1	-1.01212	0.46517
0	-0.88342	-2.02526
0	-0.88342	-1.45055
1	-0.88342	-1.25897
0	-0.88342	-1.25897
0	-0.88342	-1.25897
1	-0.88342	-1.0674
1	-0.88342	-1.0674
0	-0.88342	-1.0674
1	-0.88342	-0.875831
1	-0.88342	-0.875831
0	-0.88342	-0.875831
0	-0.88342	-0.875831
1	-0.88342	-0.684259
1	-0.88342	-0.684259
0	-0.88342	-0.684259
1	-0.88342	-0.492688
1	-0.88342	-0.492688
1	-0.88342	-0.492688
1	-0.88342	-0.492688
1	-0.88342	-0.492688
1	-0.88342	-0.301116
1	-0.88342	-0.109544
1	-0.88342	-0.109544
1	-0.88342	-0.109544
0	-0.88342	-0.109544
1	-0.88342	0.0820271
1	-0.88342	0.0820271
1	-0.88342	0.273599
1	-0.88342	0.273599
1	-0.88342	0.273599
1	-0.88342	0.656742
1	-0.88342	0.848314
1	-0.88342	1.03989
1	-0.88342	1.23146
0	-0.754717	-1.64212
1	-0.754717	-1.25897
0	-0.754717	-1.25897
0	-0.754717	-1.25897
1	-0.754717	-1.0674
1	-0.754717	-1.0674
0	-0.754717	-1.0674
0	-0.754717	-1.0674
1	-0.754717	-0.875831
1	-0.754717	-0.684259
1	-0.754717	-0.684259
1	-0.754717	-0.684259
1	-0.754717	-0.684259
1	-0.754717	-0.684259
1	-0.754717	-0.492688
1	-0.754717	-0.492688
1	-0.754717	-0.492688
1	-0.754717	-0.492688
0	-0.754717	-0.492688
1	-0.754717	-0.301116
1	-0.754717	-0.301116
1	-0.754717	-0.301116
1	-0.754717	-0.301116
1	-0.754717	-0.301116
1	-0.754717	-0.109544
1	-0.754717	-0.109544
1	-0.754717	-0.109544
1	-0.754717	-0.109544
1	-0.754717	-0.109544
1	-0.754717	-0.109544
1	-0.754717	0.0820271
1	-0.754717	0.0820271
1	-0.754717	0.0820271
1	-0.754717	0.0820271
1	-0.754717	0.273599
1	-0.754717	0.273599
1	-0.754717	0.273599
1	-0.754717	0.273599
1	-0.754717	0.273599
1	-0.754717	0.273599
1	-0.754717	0.46517
1	-0.754717	0.46517
1	-0.754717	0.46517
1	-0.754717	0.46517
1	-0.754717	0.46517
1	-0.754717	0.656742
1	-0.754717	0.656742
1	-0.754717	0.656742
1	-0.754717	0.848314
0	-0.626014	-1.64212
1	-0.626014	-1.25897
0	-0.626014	-1.25897
1	-0.626014	-1.0674
1	-0.626014	-1.0674
1	-0.626014	-1.0674
1	-0.626014	-1.0674
1	-0.626014	-0.875831
1	-0.626014	-0.875831
1	-0.626014	-0.875831
1	-0.626014	-0.684259
1	-0.626014	-0.684259
1	-0.626014	-0.684259
1	-0.626014	-0.684259
1	-0.626014	-0.684259
1	-0.626014	-0.684259
0	-0.626014	-0.684259
0	-0.626014	-0.684259
0	-0.626014	-0.684259
0	-0.626014	-0.684259
0	-0.626014	-0.684259
1	-0.626014	-0.492688
1	-0.626014	-0.492688
1	-0.626014	-0.492688
1	-0.626014	-0.492688
1	-0.626014	-0.492688
1	-0.626014	-0.492688
1	-0.626014	-0.492688
1	-0.626014	-0.492688
0	-0.626014	-0.492688
1	-0.626014	-0.301116
1	-0.626014	-0.301116
1	-0.626014	-0.301116
1	-0.626014	-0.301116
1	-0.626014	-0.301116
1	-0.626014	-0.301116
1	-0.626014	-0.301116
1	-0.626014	-0.301116
1	-0.626014	-0.301116
0	-0.626014	-0.301116
0	-0.626014	-0.301116
1	-0.626014	-0.109544
1	-0.626014	-0.109544
1	-0.626014	-0.109544
1	-0.626014	-0.109544
1	-0.626014	-0.109544
